,brand,fuel_type,transmission_type,price_USD,mileage_kkm,year_made,engine_size
0,74,3,0,8999,159,2007,3.0
1,74,0,0,79900,103,2015,3.0
2,11,5,0,15999,145,2010,4.4
3,77,5,0,10200,111,2014,1.6
4,81,5,0,13900,97,2010,2.0
5,6,0,3,79200,36,2018,3.0
6,72,5,1,5400,169,2007,2.3
7,101,0,1,9499,235,2014,1.6
8,101,0,0,13700,168,2018,1.6
9,84,0,0,34539,0,2021,2.0
10,101,0,1,13500,168,2017,1.6
11,11,5,0,32100,60,2014,3.0
12,117,0,1,6970,190,2011,1.6
13,11,0,3,17000,320,2009,3.0
14,116,0,0,12300,213,2012,2.0
15,72,5,0,28500,24,2018,2.5
16,116,5,0,9300,265,2012,2.5
18,101,3,1,4800,225,2003,1.6
19,116,5,0,9950,165,2015,2.0
20,49,5,1,4500,180,2007,1.4
21,78,5,4,30146,0,2021,2.4
22,101,5,1,5599,175,2004,1.6
23,83,5,1,5250,190,2004,1.8
24,112,3,0,10300,207,2008,2.4
25,25,5,1,2700,140,2008,1.5
26,117,0,1,7399,189,2010,1.6
27,112,0,1,40000,300,2007,4.5
28,90,0,1,8500,173,2014,1.5
29,11,0,0,37000,159,2015,2.0
30,78,5,4,30510,0,2021,2.4
31,74,5,0,194756,0,2020,3.0
32,74,5,0,44900,13,2019,2.0
33,74,0,0,88287,0,2021,2.0
34,6,0,0,65900,96,2016,3.0
35,6,0,0,27999,230,2012,3.0
36,116,0,0,72800,0,2021,3.0
37,112,5,0,18950,78,2013,3.5
38,101,0,1,10050,186,2010,1.9
40,116,0,0,10950,186,2010,2.0
42,116,0,0,29999,165,2012,3.0
43,74,0,0,15500,244,2015,2.2
44,35,0,1,6999,194,2010,1.6
45,78,5,4,31129,0,2020,2.4
46,84,0,1,24279,0,2020,1.6
47,116,0,0,11999,272,2008,3.0
48,35,5,0,9550,53,2016,2.0
50,116,5,0,23000,40,2019,2.0
51,78,5,4,24691,0,2021,2.0
52,84,0,0,30767,0,2020,2.0
53,57,5,0,10500,137,2014,2.0
54,116,0,1,15400,179,2018,2.0
55,101,5,1,6999,154,2009,1.6
56,10,5,0,45000,89,2006,6.0
57,10,5,0,45000,89,2006,6.0
59,35,5,0,8900,168,2016,2.0
61,25,3,1,2700,116,2007,1.4
62,116,0,0,19200,155,2016,2.0
63,25,5,1,3500,238,2006,1.5
64,112,0,0,94000,19,2020,4.5
65,11,5,0,13800,138,2014,2.0
66,84,0,0,36522,0,2020,2.0
67,11,0,0,43999,119,2018,2.0
68,74,0,0,75359,0,2020,2.0
69,49,3,1,8599,135,2008,2.0
70,83,0,0,7799,139,2009,1.9
71,101,0,1,7799,197,2008,1.9
72,84,5,1,7999,138,2012,1.6
73,6,5,0,17300,101,2012,2.0
74,101,5,1,5999,217,2005,1.6
75,11,0,0,14000,217,2014,2.0
76,90,0,1,13500,173,2017,1.5
77,64,0,0,35000,65,2013,3.0
78,64,5,0,14200,142,2007,4.2
79,112,0,0,99000,13,2020,4.5
80,90,0,1,7499,209,2011,1.5
81,101,0,0,13150,180,2016,1.6
82,74,0,0,81901,0,2021,2.0
83,74,5,0,120799,0,2020,3.0
84,98,5,0,9850,71,2013,2.5
85,64,0,0,69500,117,2017,3.0
86,11,5,0,8900,192,2008,2.0
87,116,3,0,17900,45,2017,1.4
88,81,5,4,14800,42,2018,2.0
90,11,5,3,13400,150,2014,2.0
92,60,5,0,16701,0,2021,1.4
93,74,5,0,210000,0,2020,3.0
94,116,5,1,7300,189,2006,2.0
95,67,3,0,15999,230,2007,4.6
96,11,0,0,9300,290,2006,3.0
97,101,3,0,5550,186,2003,2.0
98,64,5,0,21500,129,2012,5.0
99,116,0,0,14600,201,2017,2.0
100,81,5,4,12950,155,2016,2.5
101,112,3,0,36000,200,2011,5.7
102,116,0,0,64900,78,2019,3.0
104,116,0,1,12100,180,2015,1.6
105,90,0,1,13750,147,2018,1.5
106,112,5,0,45461,0,2021,4.0
107,6,0,0,33500,120,2015,3.0
108,64,5,0,25500,222,2011,5.0
109,101,0,0,11200,183,2015,1.6
110,101,0,1,8300,227,2011,1.6
111,90,0,1,7600,198,2012,1.5
112,35,0,0,8600,216,2013,2.0
113,78,5,1,20328,0,2020,1.6
114,84,0,0,27307,0,2021,1.5
115,22,5,1,13027,0,2020,1.2
116,45,5,0,24912,0,2021,2.0
117,6,5,0,10900,198,2011,2.0
118,11,0,3,19550,224,2012,3.0
119,6,0,1,7000,280,2004,2.5
120,116,5,1,13900,6,2018,1.4
122,60,5,0,21019,0,2021,1.6
123,87,0,0,49999,110,2012,3.0
124,84,0,0,31599,0,2021,1.5
125,74,0,0,127777,0,2021,2.9
126,117,4,0,54348,0,2021,2.0
127,60,5,0,21140,0,2021,1.6
128,35,0,1,6599,193,2010,1.6
129,112,3,4,10800,205,2008,2.0
